"entry","slot","item","maxcount","incrtime","ExtendedCost","VerifiedBuild"
45021,0,10504,0,0,0,0
45021,0,9429,0,0,0,0
45021,0,10726,0,0,0,0
45021,0,10588,0,0,0,0
45021,0,7712,0,0,0,0
45021,0,7684,0,0,0,0
45021,0,19507,0,0,0,0
45021,0,51974,0,0,0,0
45021,0,9434,0,0,0,0
45021,0,1716,0,0,0,0
45021,0,10762,0,0,0,0
45021,0,14260,0,0,0,0
45021,0,11496,0,0,0,0
45021,0,9390,0,0,0,0
45021,0,10771,0,0,0,0
45021,0,20098,0,0,0,0
45021,0,20166,0,0,0,0
45021,0,11123,0,0,0,0
45021,0,2277,0,0,0,0
45021,0,7709,0,0,0,0
45021,0,7189,0,0,0,0
45021,0,10724,0,0,0,0
45021,0,20095,0,0,0,0
45021,0,20161,0,0,0,0
